,Column,Nid,Date,Region,Location Name or Route,dt,match,score,latitute,longitude,m_sName,m_iID,m_sAliasTo,m_sNote,m_sCanyon,m_sElevation,m_sViewHeading,m_sViewDistance,slope_x,aspect_x,avy_elevat_x,slope_y,aspect_y,avy_elevat_y
353,607,26312,01/24/2016,Salt Lake,main gobblers,2016-01-24,main gobblers,100,40.668846,-111.69073,main gobblers,1279,,Main Gobblers LF is also known as LF Northwest Face (Gobblers),Mill Creek Canyon,-1,130,2400,39.20329,302.53369,2803.05566,39.20329,302.53369,2803.05566
354,608,26317,01/24/2016,Salt Lake,wilson chutes,2016-01-24,wilson chutes,100,40.674409,-111.671366,wilson chutes,1209,,,Mill Creek Canyon,-1,250,1000,33.34545,59.72916,2987.07202,33.34545,59.72916,2987.07202
355,610,26210,01/22/2016,Salt Lake,upper days fork,2016-01-22,days fork,90,40.615511,-111.634556,days fork,2595,,,Big Cottonwood Canyon,-1,180,2500,14.71154,16.7914,2651.24097,14.71154,16.7914,2651.24097
356,611,26211,01/22/2016,Salt Lake,"wilson chutes, solider fork, freds birthday run and crown in broads fork above the diving board",2016-01-22,diving board,90,40.601982,-111.719987,diving board,2916,,,Big Cottonwood Canyon,-1,215,1000,37.7956,39.77826,2939.35205,37.7956,39.77826,2939.35205
357,613,26252,01/22/2016,Salt Lake,"west bowl, silver fork, big cottonwood canyon",2016-01-22,silver,90,40.65254,-111.593841,silver,2161,,,Big Cottonwood Canyon;Summit County,10006,20,1900,38.63286,279.54233,3034.24561,38.63286,279.54233,3034.24561
359,622,26243,01/21/2016,Salt Lake,three temptations,2016-01-21,the three temptations,95,40.507087,-111.673274,the three temptations,6059,,,Utah County,-1,0,2000,41.39835,96.16569,2608.39551,41.39835,96.16569,2608.39551
361,627,26156,01/20/2016,Salt Lake,limber pine slide path,2016-01-20,limber pine,90,40.58522,-111.683063,limber pine,3074,,,Little Cottonwood Canyon,-1,345,2000,36.88285,154.35503,2966.16187,36.88285,154.35503,2966.16187
362,628,26120,01/20/2016,Salt Lake,grizzly gulch,2016-01-20,grizzly gulch,100,40.594275,-111.62398,grizzly gulch,3196,,,Little Cottonwood Canyon,-1,50,2100,30.87155,177.05164,2759.50269,30.87155,177.05164,2759.50269
363,629,26168,01/20/2016,Salt Lake,catchers mit,2016-01-20,catcher's mitt,92,40.6248,-111.666,catcher's mitt,2761,,Catcher's Mitt LF is also known as LF Great Wall,Big Cottonwood Canyon,-1,270,1400,37.20775,87.87679,2989.58374,37.20775,87.87679,2989.58374
364,630,26213,01/20/2016,Salt Lake,cardiac ridge,2016-01-20,cardiac ridge,100,40.596963,-111.667777,cardiac ridge,2718,,,Big Cottonwood Canyon,-1,235,1200,42.30051,236.86736,3254.43359,42.30051,236.86736,3254.43359
365,631,26169,01/20/2016,Salt Lake,west monitor bowl,2016-01-20,west monitor,95,40.639612,-111.575337,west monitor,5223,,,Summit County,-1,260,1500,36.67375,64.72899,2937.33838,36.67375,64.72899,2937.33838
366,632,26170,01/20/2016,Salt Lake,mt raymond,2016-01-20,mt. raymond,95,40.6585,-111.7021,mt. raymond,2051,,,Big Cottonwood Canyon,10241,270,2000,30.73603,268.28088,3090.07227,30.73603,268.28088,3090.07227
367,633,26215,01/20/2016,Salt Lake,cardiac bowl,2016-01-20,cardiac bowl,100,40.595069,-111.664316,cardiac bowl,2687,,,Big Cottonwood Canyon,-1,220,2000,27.95099,53.99466,3135.11475,27.95099,53.99466,3135.11475
368,634,26171,01/20/2016,Salt Lake,south monitor bowl,2016-01-20,south monitor,95,40.63419,-111.573742,south monitor,5228,,,Summit County,-1,230,1500,32.90428,88.92542,2941.15845,32.90428,88.92542,2941.15845
370,636,26137,01/20/2016,Salt Lake,west porter,2016-01-20,west porter fork,95,40.674849,-111.719031,west porter fork,1292,,,Mill Creek Canyon,-1,210,1500,24.87793,38.25454,2500.98853,24.87793,38.25454,2500.98853
371,637,26172,01/20/2016,Salt Lake,no name bowl,2016-01-20,no name bowl,100,40.635387,-111.562005,no name bowl,5256,,,Summit County,-1,250,2000,33.62292,70.63539,2876.86865,33.62292,70.63539,2876.86865
372,639,26140,01/20/2016,Salt Lake,mill d north fork to reynolds peak to bw gulch,2016-01-20,mill d north fork,90,40.650037,-111.635567,mill d north fork,2115,,,Big Cottonwood Canyon,-1,60,2000,7.82669,271.92572,2340.5896,7.82669,271.92572,2340.5896
374,641,26141,01/20/2016,Salt Lake,west monitor,2016-01-20,west monitor,100,40.639612,-111.575337,west monitor,5223,,,Summit County,-1,260,1500,36.67375,64.72899,2937.33838,36.67375,64.72899,2937.33838
375,642,26239,01/20/2016,Salt Lake,monte cristo southerly face,2016-01-20,monte cristo,90,40.591155,-111.671102,monte cristo,2855,,Monte Cristo LF is also known as LF Superior Peak (which is easily confused with Mount Superior),Big Cottonwood Canyon;Little Cottonwood Canyon,11132,115,2000,44.30187,283.02374,3343.36914,44.30187,283.02374,3343.36914
376,643,26142,01/20/2016,Salt Lake,west desolation ridge,2016-01-20,west desolation ridge,100,40.655031,-111.611537,west desolation ridge,2144,,,Big Cottonwood Canyon,-1,0,1300,4.0018,229.70912,2917.55444,4.0018,229.70912,2917.55444
377,644,26240,01/20/2016,Salt Lake,limber pine,2016-01-20,limber pine,100,40.58522,-111.683063,limber pine,3074,,,Little Cottonwood Canyon,-1,345,2000,36.88285,154.35503,2966.16187,36.88285,154.35503,2966.16187
378,645,26143,01/20/2016,Salt Lake,cinder chutes,2016-01-20,cinder chutes,100,40.67162,-111.599524,cinder chutes,5044,,,Summit County,-1,245,1000,31.61528,57.68208,2845.979,31.61528,57.68208,2845.979
379,646,26241,01/20/2016,Salt Lake,jedediah,2016-01-20,jedediah,100,40.585684,-111.677532,jedediah,3076,,,Little Cottonwood Canyon,-1,15,2000,42.56295,168.05112,2901.7373,42.56295,168.05112,2901.7373
380,647,26144,01/20/2016,Salt Lake,silver fork meadows,2016-01-20,silver,90,40.65254,-111.593841,silver,2161,,,Big Cottonwood Canyon;Summit County,10006,20,1900,38.63286,279.54233,3034.24561,38.63286,279.54233,3034.24561
381,648,26242,01/20/2016,Salt Lake,home run,2016-01-20,home run,100,40.677619,-111.60132,home run,5010,,,Summit County,-1,250,1000,37.118,94.30355,2845.58057,37.118,94.30355,2845.58057
383,655,26130,01/19/2016,Salt Lake,scotties bowl,2016-01-19,scotties bowl,100,40.564138,-111.674494,scotties bowl,3493,,,Little Cottonwood Canyon,-1,145,2000,22.94692,15.91445,2908.84399,22.94692,15.91445,2908.84399
384,658,26087,01/19/2016,Salt Lake,two dogs,2016-01-19,two dogs,100,40.600008,-111.64222,two dogs,2604,,,Big Cottonwood Canyon,-1,225,1000,31.04914,45.10151,3093.15381,31.04914,45.10151,3093.15381
385,660,26093,01/19/2016,Salt Lake,macdonalds draw,2016-01-19,mcdonald draw,93,40.653165,-111.574546,mcdonald draw,5180,,,Summit County,-1,220,2000,9.06021,358.45721,2659.14062,9.06021,358.45721,2659.14062
386,661,26095,01/19/2016,Salt Lake,north of square top,2016-01-19,square top,90,40.664351,-111.600235,square top,5049,,,Big Cottonwood Canyon;Summit County,9780,240,3000,12.15291,141.26509,2981.64307,12.15291,141.26509,2981.64307
387,663,26102,01/19/2016,Salt Lake,days draw,2016-01-19,days draw,100,40.615634,-111.642791,days draw,2616,,,Big Cottonwood Canyon,-1,220,1100,33.02547,41.41787,2889.95483,33.02547,41.41787,2889.95483
388,664,26108,01/19/2016,Salt Lake,twin lakes,2016-01-19,twin lakes pass,90,40.59455,-111.609122,twin lakes pass,2459,,,Big Cottonwood Canyon;Little Cottonwood Canyon,9993,90,1000,16.04648,244.56573,3034.83887,16.04648,244.56573,3034.83887
389,665,26067,01/18/2016,Salt Lake,wilson glade,2016-01-18,wilson glade,100,40.676974,-111.671039,wilson glade,1211,,,Mill Creek Canyon,-1,210,1500,30.46662,48.43252,2845.33813,30.46662,48.43252,2845.33813
390,668,26086,01/18/2016,Salt Lake,"banana days, rabbit run",2016-01-18,banana days,90,40.606593,-111.64172,banana days,2610,,"Many people call Banana Belt LF ''Banana Days,'' but these labels LF match the earliest records.",Big Cottonwood Canyon,-1,285,900,20.24573,105.76704,3081.5332,20.24573,105.76704,3081.5332
391,669,26088,01/18/2016,Salt Lake,no name bowl,2016-01-18,no name bowl,100,40.635387,-111.562005,no name bowl,5256,,,Summit County,-1,250,2000,33.62292,70.63539,2876.86865,33.62292,70.63539,2876.86865
392,670,26089,01/18/2016,Salt Lake,swedish corner of gobblers knob,2016-01-18,gobblers knob,90,40.6707,-111.6829,gobblers knob,2082,,,Mill Creek Canyon;Big Cottonwood Canyon,10246,0,2000,23.35234,291.72321,3103.82007,23.35234,291.72321,3103.82007
393,671,26094,01/18/2016,Salt Lake,major evans,2016-01-18,major evans,100,40.536358,-111.644438,major evans,6121,,,Utah County,-1,0,1300,25.77844,145.39432,3074.7439,25.77844,145.39432,3074.7439
394,672,26033,01/17/2016,Salt Lake,rocky point,2016-01-17,rocky point,100,40.578013,-111.598088,rocky point,2369,,,Little Cottonwood Canyon;Utah County,10490,320,1000,4.81755,250.06148,3190.25952,4.81755,250.06148,3190.25952
395,674,26103,01/17/2016,Salt Lake,ant knolls,2016-01-17,ant knolls,100,40.551224,-111.570457,ant knolls,6235,,,Utah County;Wasatch County,9860,220,2100,3.91594,322.74161,3006.15479,3.91594,322.74161,3006.15479
397,678,25994,01/16/2016,Salt Lake,near football field above meadow chutes. ,2016-01-16,football field,90,40.612869,-111.627755,football field,2553,,,Big Cottonwood Canyon,-1,275,1900,27.41902,83.73906,2924.04834,27.41902,83.73906,2924.04834
399,681,26026,01/16/2016,Salt Lake,depth hoar bowl,2016-01-16,depth hoar bowl,100,40.677333,-111.682767,depth hoar bowl,1249,,,Mill Creek Canyon,-1,225,1100,38.05534,35.47275,2868.52881,38.05534,35.47275,2868.52881
400,682,25962,01/15/2016,Salt Lake,two dogs,2016-01-15,two dogs,100,40.600008,-111.64222,two dogs,2604,,,Big Cottonwood Canyon,-1,225,1000,31.04914,45.10151,3093.15381,31.04914,45.10151,3093.15381
401,683,25910,01/13/2016,Salt Lake,upper maybird gulch,2016-01-13,maybird gulch,95,40.55597,-111.707315,maybird gulch,3665,,,Little Cottonwood Canyon,-1,170,3000,20.05703,3.65349,2727.32324,20.05703,3.65349,2727.32324
402,684,25915,01/13/2016,Salt Lake,north aspect of superior ,2016-01-13,superior,90,40.592166,-111.666973,superior,2854,,,Big Cottonwood Canyon;Little Cottonwood Canyon,11050,295,1500,20.04864,230.25876,3347.46851,20.04864,230.25876,3347.46851
403,685,25891,01/12/2016,Salt Lake,emma ridge,2016-01-12,emma ridge,100,40.598405,-111.626617,emma ridge,3165,,,Big Cottonwood Canyon;Little Cottonwood Canyon,-1,15,1600,7.64011,56.33689,3032.23022,7.64011,56.33689,3032.23022
404,686,25865,01/11/2016,Salt Lake,point supreme,2016-01-11,point supreme,100,40.576024,-111.601603,point supreme,3293,,,Little Cottonwood Canyon;Utah County,10595,215,1000,23.26848,300.19153,3217.88745,23.26848,300.19153,3217.88745
406,689,25870,01/10/2016,Salt Lake,"day's fork, two dogs",2016-01-10,two dogs,90,40.600008,-111.64222,two dogs,2604,,,Big Cottonwood Canyon,-1,225,1000,31.04914,45.10151,3093.15381,31.04914,45.10151,3093.15381
407,690,25855,01/10/2016,Salt Lake,days fork,2016-01-10,days fork,100,40.615511,-111.634556,days fork,2595,,,Big Cottonwood Canyon,-1,180,2500,14.71154,16.7914,2651.24097,14.71154,16.7914,2651.24097
408,691,25835,01/10/2016,Salt Lake,upper days,2016-01-10,upper days,100,40.60245,-111.643407,upper days,2605,,,Big Cottonwood Canyon,-1,260,1300,35.85919,103.09418,3094.06104,35.85919,103.09418,3094.06104
409,692,25836,01/10/2016,Salt Lake,no name baldy,2016-01-10,no name baldy,100,40.535739,-111.698215,no name baldy,3608,,,Little Cottonwood Canyon;Utah County,10897,170,2000,46.86411,321.67957,3271.28345,46.86411,321.67957,3271.28345
411,694,25818,01/9/2016,Salt Lake,argenta,2016-01-09,argenta,100,40.630992,-111.672629,argenta,2767,,,Big Cottonwood Canyon,-1,180,3000,26.4268,6.6536,2708.50903,26.4268,6.6536,2708.50903
412,695,25832,01/9/2016,Salt Lake,holy toledo,2016-01-09,holy toledo,100,40.600266,-111.647823,holy toledo,2660,,,Big Cottonwood Canyon,-1,110,1000,34.55423,293.10416,2993.95044,34.55423,293.10416,2993.95044
413,697,25774,01/8/2016,Salt Lake,toledo face,2016-01-08,toledo face,100,40.598171,-111.64735,toledo face,3144,,,Little Cottonwood Canyon,-1,295,700,33.20289,126.84309,3123.26367,33.20289,126.84309,3123.26367
414,699,25785,01/8/2016,Salt Lake,stupid chute,2016-01-08,stupid chute,100,40.588604,-111.601201,stupid chute,2430,,,Big Cottonwood Canyon,-1,180,500,40.6875,3.82161,3177.05127,40.6875,3.82161,3177.05127
415,700,25747,01/7/2016,Salt Lake,south face of superior,2016-01-07,south face (superior),95,40.590841,-111.664865,south face (superior),3118,,The South Face is also called LF Main Superior.,Little Cottonwood Canyon,-1,305,800,34.4359,108.40405,3221.42432,34.4359,108.40405,3221.42432
416,701,25751,01/7/2016,Salt Lake,silver fork meadow chutes,2016-01-07,meadow chutes,90,40.614,-111.6262,meadow chutes,2554,,This entire east-facing slope is LF usually called LF the Meadow Chutes.,Big Cottonwood Canyon,-1,270,1900,26.36225,105.63398,2846.97974,26.36225,105.63398,2846.97974
417,702,25759,01/7/2016,Salt Lake,lower little superior buttress,2016-01-07,little superior buttress,95,40.594055,-111.660731,little superior buttress,2685,,,Big Cottonwood Canyon,-1,215,500,31.65509,354.617,3150.79956,31.65509,354.617,3150.79956
418,703,25623,01/2/2016,Salt Lake,dirt chute - murdock pk,2016-01-02,dirt chute,90,40.694484,-111.602061,dirt chute,4510,,,Lambs Canyon,-1,190,700,22.85126,26.22558,2758.63135,22.85126,26.22558,2758.63135
419,704,25684,01/1/2016,Salt Lake,little water peak millcreek/bcc ridgeline.,2016-01-01,little water peak,90,40.6719,-111.6277,little water peak,1161,,,Mill Creek Canyon;Big Cottonwood Canyon,9605,130,2000,9.55288,235.15984,2912.62915,9.55288,235.15984,2912.62915
420,705,25593,01/1/2016,Salt Lake,cardiff and cardiac bowls,2016-01-01,cardiac bowl,90,40.595069,-111.664316,cardiac bowl,2687,,,Big Cottonwood Canyon,-1,220,2000,27.95099,53.99466,3135.11475,27.95099,53.99466,3135.11475
421,706,25601,01/1/2016,Salt Lake,benson and hedges couloir,2016-01-01,benson & hedges couloir,95,40.614774,-111.648508,benson & hedges couloir,2656,,,Big Cottonwood Canyon,-1,90,1000,37.54012,265.77017,2768.21631,37.54012,265.77017,2768.21631
422,707,25607,01/1/2016,Salt Lake,cardiac ridge,2016-01-01,cardiac ridge,100,40.596963,-111.667777,cardiac ridge,2718,,,Big Cottonwood Canyon,-1,235,1200,42.30051,236.86736,3254.43359,42.30051,236.86736,3254.43359
423,710,25616,01/1/2016,Salt Lake,east bowl of silver fork,2016-01-01,east bowl,90,40.602544,-111.617177,east bowl,2541,,,Big Cottonwood Canyon,-1,135,2000,22.76563,276.34558,2995.64502,22.76563,276.34558,2995.64502
426,717,25589,01/1/2016,Salt Lake,north aspect of superior ,2016-01-01,superior,90,40.592166,-111.666973,superior,2854,,,Big Cottonwood Canyon;Little Cottonwood Canyon,11050,295,1500,20.04864,230.25876,3347.46851,20.04864,230.25876,3347.46851
427,718,25622,01/1/2016,Salt Lake,east bowl,2016-01-01,east bowl,100,40.602544,-111.617177,east bowl,2541,,,Big Cottonwood Canyon,-1,135,2000,22.76563,276.34558,2995.64502,22.76563,276.34558,2995.64502
428,731,25427,12/26/2015,Salt Lake,rocky point ridge east facing,2015-12-26,rocky point,90,40.578013,-111.598088,rocky point,2369,,,Little Cottonwood Canyon;Utah County,10490,320,1000,4.81755,250.06148,3190.25952,4.81755,250.06148,3190.25952
429,734,25433,12/25/2015,Salt Lake,mineral fork,2015-12-25,mineral fork,100,40.617543,-111.682526,mineral fork,2790,,,Big Cottonwood Canyon,-1,160,2500,15.42511,19.38919,2458.84277,15.42511,19.38919,2458.84277
430,736,25481,12/25/2015,Salt Lake,argenta,2015-12-25,argenta,100,40.630992,-111.672629,argenta,2767,,,Big Cottonwood Canyon,-1,180,3000,26.4268,6.6536,2708.50903,26.4268,6.6536,2708.50903
431,743,25356,12/24/2015,Salt Lake,alta ski area - backside,2015-12-24,alta ski area,90,40.588889,-111.638846,alta ski area,3290,,,Little Cottonwood Canyon,8530,180,1000,3.00705,212.06575,2605.09253,3.00705,212.06575,2605.09253
432,744,25414,12/24/2015,Salt Lake,"fire water, little water peak",2015-12-24,fire water,90,40.672234,-111.626171,fire water,1163,,Fire Water is the original (and less common) name. LF This is frequently called Little Water LF or Little Water Bowl.,Mill Creek Canyon,-1,220,1300,33.93555,56.07226,2878.27124,33.93555,56.07226,2878.27124
433,745,25415,12/24/2015,Salt Lake,east of little water peak,2015-12-24,little water peak,95,40.6719,-111.6277,little water peak,1161,,,Mill Creek Canyon;Big Cottonwood Canyon,9605,130,2000,9.55288,235.15984,2912.62915,9.55288,235.15984,2912.62915
434,746,25361,12/24/2015,Salt Lake,wheels up and quicksilver - silver fork,2015-12-24,quicksilver,90,40.605368,-111.630768,quicksilver,2597,,,Big Cottonwood Canyon,-1,180,1200,18.90289,339.73682,2930.42969,18.90289,339.73682,2930.42969
435,750,25347,12/23/2015,Salt Lake,"meadow chutes, el rolo",2015-12-23,meadow chutes,90,40.614,-111.6262,meadow chutes,2554,,This entire east-facing slope is LF usually called LF the Meadow Chutes.,Big Cottonwood Canyon,-1,270,1900,26.36225,105.63398,2846.97974,26.36225,105.63398,2846.97974
436,751,25367,12/23/2015,Salt Lake,main chute/dog lake chutes,2015-12-23,dog lake chutes,90,40.585078,-111.587702,dog lake chutes,2307,,,Big Cottonwood Canyon,-1,245,1000,13.90953,353.00702,2992.18604,13.90953,353.00702,2992.18604
437,752,25445,12/23/2015,Salt Lake,days fork,2015-12-23,days fork,100,40.615511,-111.634556,days fork,2595,,,Big Cottonwood Canyon,-1,180,2500,14.71154,16.7914,2651.24097,14.71154,16.7914,2651.24097
438,754,25348,12/23/2015,Salt Lake,"dougs drop to the football field, meadow chutes",2015-12-23,football field,90,40.612869,-111.627755,football field,2553,,,Big Cottonwood Canyon,-1,275,1900,27.41902,83.73906,2924.04834,27.41902,83.73906,2924.04834
439,756,25448,12/23/2015,Salt Lake,10420,2015-12-23,10420,100,40.600084,-111.558387,10420,2251,,,Big Cottonwood Canyon;Wasatch County,10420,120,2000,20.88771,251.08237,3151.57935,20.88771,251.08237,3151.57935
441,759,25451,12/23/2015,Salt Lake,mineral fork,2015-12-23,mineral fork,100,40.617543,-111.682526,mineral fork,2790,,,Big Cottonwood Canyon,-1,160,2500,15.42511,19.38919,2458.84277,15.42511,19.38919,2458.84277
442,760,25541,12/23/2015,Salt Lake,wilson glade and main east north east face,2015-12-23,wilson glade,90,40.676974,-111.671039,wilson glade,1211,,,Mill Creek Canyon,-1,210,1500,30.46662,48.43252,2845.33813,30.46662,48.43252,2845.33813
443,761,25350,12/23/2015,Salt Lake,no name bowl,2015-12-23,no name bowl,100,40.635387,-111.562005,no name bowl,5256,,,Summit County,-1,250,2000,33.62292,70.63539,2876.86865,33.62292,70.63539,2876.86865
444,762,25351,12/23/2015,Salt Lake,no name bowl,2015-12-23,no name bowl,100,40.635387,-111.562005,no name bowl,5256,,,Summit County,-1,250,2000,33.62292,70.63539,2876.86865,33.62292,70.63539,2876.86865
445,763,25375,12/23/2015,Salt Lake,ant knolls,2015-12-23,ant knolls,100,40.551224,-111.570457,ant knolls,6235,,,Utah County;Wasatch County,9860,220,2100,3.91594,322.74161,3006.15479,3.91594,322.74161,3006.15479
446,764,25352,12/23/2015,Salt Lake,west monitor bowl,2015-12-23,west monitor,95,40.639612,-111.575337,west monitor,5223,,,Summit County,-1,260,1500,36.67375,64.72899,2937.33838,36.67375,64.72899,2937.33838
447,765,25376,12/23/2015,Salt Lake,murdock peak,2015-12-23,murdock peak,100,40.6934,-111.6051,murdock peak,1121,,,Mill Creek Canyon;Lambs Canyon,9602,0,2000,15.85883,315.7243,2921.06226,15.85883,315.7243,2921.06226
448,766,25353,12/23/2015,Salt Lake,"south monitor, corner pocket right under the radio towers.",2015-12-23,corner pocket,90,40.573195,-111.59043,corner pocket,5528,,,Wasatch County,-1,270,2200,38.28782,103.27599,3070.90918,38.28782,103.27599,3070.90918
449,768,25354,12/23/2015,Salt Lake,"rhino bowl, white pine canyon pc ridgeline",2015-12-23,white pine,90,40.584078,-111.691215,white pine,3071,,Don't confuse this with LF White Pine Fork LF on the south side of the road.,Little Cottonwood Canyon,-1,345,2000,45.19536,151.57095,2869.50684,45.19536,151.57095,2869.50684
451,772,25355,12/23/2015,Salt Lake,powder park,2015-12-23,powder park 1,95,40.664996,-111.61271,powder park 1,2120,,,Big Cottonwood Canyon,-1,135,1500,34.56745,16.94295,2785.20264,34.56745,16.94295,2785.20264
452,773,25397,12/23/2015,Salt Lake,broads fork- big west,2015-12-23,big west,90,40.604703,-111.710641,big west,2898,,,Big Cottonwood Canyon,-1,95,1500,31.88519,260.50098,2816.81787,31.88519,260.50098,2816.81787
454,775,25399,12/23/2015,Salt Lake,stairs gulch,2015-12-23,stairs gulch,100,40.612656,-111.734558,stairs gulch,2930,,,Big Cottonwood Canyon,-1,150,2500,36.71584,352.50549,2297.70337,36.71584,352.50549,2297.70337
455,776,25572,12/23/2015,Salt Lake,lower wolverine chutes,2015-12-23,lower wolverine chutes,100,40.587519,-111.600327,lower wolverine chutes,2387,,,Big Cottonwood Canyon,-1,245,500,23.87125,45.39182,3173.31787,23.87125,45.39182,3173.31787
456,778,25357,12/23/2015,Salt Lake,wolverine cirque,2015-12-23,wolverine cirque,100,40.587035,-111.605933,wolverine cirque,2455,,,Big Cottonwood Canyon,-1,195,700,23.43305,48.76762,3131.92773,23.43305,48.76762,3131.92773
458,783,25359,12/23/2015,Salt Lake,dog lake chutes,2015-12-23,dog lake chutes,100,40.585078,-111.587702,dog lake chutes,2307,,,Big Cottonwood Canyon,-1,245,1000,13.90953,353.00702,2992.18604,13.90953,353.00702,2992.18604
460,785,25511,12/23/2015,Salt Lake,martha's bowl,2015-12-23,martha bowl,95,40.582214,-111.589523,martha bowl,2364,,,Big Cottonwood Canyon,-1,140,900,28.94749,340.2207,3051.85498,28.94749,340.2207,3051.85498
461,787,25345,12/23/2015,Salt Lake,10420,2015-12-23,10420,100,40.600084,-111.558387,10420,2251,,,Big Cottonwood Canyon;Wasatch County,10420,120,2000,20.88771,251.08237,3151.57935,20.88771,251.08237,3151.57935
462,788,25424,12/23/2015,Salt Lake,west willow headwall,2015-12-23,west willow,90,40.645999,-111.597755,west willow,2180,,,Big Cottonwood Canyon,-1,235,500,38.2995,85.46362,2891.42847,38.2995,85.46362,2891.42847
463,789,25512,12/23/2015,Salt Lake,north lake mary chutes (that hit the summer trail),2015-12-23,lake mary,90,40.58815,-111.590188,lake mary,2361,,,Big Cottonwood Canyon,9550,215,800,0.11518,39.4147,2904.60645,0.11518,39.4147,2904.60645
464,791,25279,12/22/2015,Salt Lake,two dogs,2015-12-22,two dogs,100,40.600008,-111.64222,two dogs,2604,,,Big Cottonwood Canyon,-1,225,1000,31.04914,45.10151,3093.15381,31.04914,45.10151,3093.15381
466,795,25293,12/22/2015,Salt Lake,two dogs and days fork headwall,2015-12-22,days fork,90,40.615511,-111.634556,days fork,2595,,,Big Cottonwood Canyon,-1,180,2500,14.71154,16.7914,2651.24097,14.71154,16.7914,2651.24097
467,797,25294,12/22/2015,Salt Lake,brighton estates,2015-12-22,brighton estates,100,40.595534,-111.522724,brighton estates,5605,,,Wasatch County,8700,270,3500,5.12952,48.14575,2661.78662,5.12952,48.14575,2661.78662
468,799,25244,12/21/2015,Salt Lake,south monitor bowl,2015-12-21,south monitor,95,40.63419,-111.573742,south monitor,5228,,,Summit County,-1,230,1500,32.90428,88.92542,2941.15845,32.90428,88.92542,2941.15845
469,800,25256,12/21/2015,Salt Lake,"west fork of silver fork, headwall",2015-12-21,silver,90,40.65254,-111.593841,silver,2161,,,Big Cottonwood Canyon;Summit County,10006,20,1900,38.63286,279.54233,3034.24561,38.63286,279.54233,3034.24561
470,802,25262,12/21/2015,Salt Lake,brighton resort,2015-12-21,brighton ski resort,95,40.598305,-111.583702,brighton ski resort,2270,,,Big Cottonwood Canyon,8730,150,1500,4.48415,284.16751,2670.83179,4.48415,284.16751,2670.83179
471,809,25133,12/17/2015,Salt Lake,radar love bowl,2015-12-17,radar love bowl,100,40.628279,-111.566679,radar love bowl,5258,,,Summit County,-1,305,1000,30.34711,98.76051,2997.77124,30.34711,98.76051,2997.77124
472,811,25136,12/17/2015,Salt Lake,south monitor,2015-12-17,south monitor,100,40.63419,-111.573742,south monitor,5228,,,Summit County,-1,230,1500,32.90428,88.92542,2941.15845,32.90428,88.92542,2941.15845
473,813,25139,12/17/2015,Salt Lake,scott's bowl,2015-12-17,scotts bowl,96,40.62395,-111.5658,scotts bowl,5259,,,Summit County,-1,245,1200,34.81483,80.8837,3014.87646,34.81483,80.8837,3014.87646
474,814,25140,12/17/2015,Salt Lake,no name bowl,2015-12-17,no name bowl,100,40.635387,-111.562005,no name bowl,5256,,,Summit County,-1,250,2000,33.62292,70.63539,2876.86865,33.62292,70.63539,2876.86865
475,815,25144,12/17/2015,Salt Lake,south shoulder of gobblers knob. east face into mill a basin,2015-12-17,gobblers knob,90,40.6707,-111.6829,gobblers knob,2082,,,Mill Creek Canyon;Big Cottonwood Canyon,10246,0,2000,23.35234,291.72321,3103.82007,23.35234,291.72321,3103.82007
477,820,25162,12/17/2015,Salt Lake,cardiac ridge,2015-12-17,cardiac ridge,100,40.596963,-111.667777,cardiac ridge,2718,,,Big Cottonwood Canyon,-1,235,1200,42.30051,236.86736,3254.43359,42.30051,236.86736,3254.43359
478,822,25127,12/17/2015,Salt Lake,high dutch,2015-12-17,high dutch,100,40.654178,-111.593458,high dutch,5153,,,Summit County,-1,260,1100,26.16027,57.5114,3026.6311,26.16027,57.5114,3026.6311
480,827,25009,12/12/2015,Salt Lake,south monitor bowl,2015-12-12,south monitor,95,40.63419,-111.573742,south monitor,5228,,,Summit County,-1,230,1500,32.90428,88.92542,2941.15845,32.90428,88.92542,2941.15845
481,828,24905,12/6/2015,Salt Lake,"bcc, cardiff fork, near montreal hill",2015-12-06,cardiff fork,90,40.61987,-111.6545,cardiff fork,2645,,Cardiff Fork LF is also known as LF Mill D South Fork,Big Cottonwood Canyon,-1,190,3000,17.1262,66.80544,2522.93091,17.1262,66.80544,2522.93091
482,829,24926,12/6/2015,Salt Lake,upper days fork,2015-12-06,days fork,90,40.615511,-111.634556,days fork,2595,,,Big Cottonwood Canyon,-1,180,2500,14.71154,16.7914,2651.24097,14.71154,16.7914,2651.24097
484,838,24524,11/11/2015,Salt Lake,gunsight - alta,2015-11-11,gunsight,90,40.578199,-111.630978,gunsight,3301,,,Little Cottonwood Canyon,10250,180,2000,48.60391,256.11108,3096.11084,48.60391,256.11108,3096.11084
485,839,24525,11/11/2015,Salt Lake,"main chute, mt baldy, alta ski area",2015-11-11,alta ski area,90,40.588889,-111.638846,alta ski area,3290,,,Little Cottonwood Canyon,8530,180,1000,3.00705,212.06575,2605.09253,3.00705,212.06575,2605.09253
486,840,24531,11/11/2015,Salt Lake,rocky point,2015-11-11,rocky point,100,40.578013,-111.598088,rocky point,2369,,,Little Cottonwood Canyon;Utah County,10490,320,1000,4.81755,250.06148,3190.25952,4.81755,250.06148,3190.25952
